0.022805,5.2002e-07,1.0768e-07,5.2002e-07,5.2002e-07
-2.2767,-5.0188,-5.3133,5.0188,-5.0188
1,1,1,1,1
97,97,97,97,97
0.16989,5.886e-06,2.5543e-06,3.8276e-05,3.8276e-05
-1.3725,-4.5304,-4.7037,4.1176,-4.1176
0,1,1,1,1
97,97,97,97,97
0.4032,3.8276e-05,1.91e-05,3.8276e-05,5.886e-06
0.83591,-4.1176,-4.2752,4.1176,4.5304
0,1,1,1,1
97,97,97,97,97
0.4032,0.84455,2.5543e-06,3.8276e-05,3.8276e-05
-0.83591,0.19608,-4.7037,4.1176,4.1176
0,0,1,1,1
97,97,97,97,97
0.30694,0.0016463,2.5543e-06,3.8276e-05,0.051121
1.0217,-3.1476,-4.7037,4.1176,1.9505
0,1,1,1,0
97,97,97,97,97
0.10083,3.8276e-05,2.5543e-06,2.4744e-07,0.41492
1.6409,4.1176,-4.7037,5.1596,-0.81527
0,1,1,1,0
97,97,97,97,97
0.90962,3.8276e-05,5.886e-06,3.8276e-05,0.87698
0.11352,-4.1176,-4.5304,-4.1176,0.1548
0,1,1,1,0
97,97,97,97,97
0.94241,3.8276e-05,2.1048e-09,1.91e-05,3.8276e-05
0.072239,4.1176,-5.9895,4.2752,-4.1176
0,1,1,1,1
97,97,97,97,97
1,2.0319e-08,4.4471e-09,1,0.00041135
0,-5.6093,-5.8666,0,-3.5327
0,1,1,0,1
97,97,97,97,97
0.36332,3.3693e-05,1.6475e-05,0.00069033,2.9597e-05
0.90906,-4.147,-4.308,-3.3934,-4.1765
0,1,1,1,1
97,97,97,97,97
0.63818,0.00031073,2.3242e-08,0.18607,0.63818
0.47025,-3.6062,-5.586,1.3223,0.47025
0,1,1,0,0
97,97,97,97,97
0.71795,3.8276e-05,2.5543e-06,1.91e-05,0.029443
0.3612,-4.1176,-4.7037,4.2752,-2.1775
0,1,1,1,1
97,97,97,97,97
0.74903,0.0070707,2.5543e-06,1.91e-05,0.00099459
-0.31992,2.6935,-4.7037,4.2752,-3.2921
0,1,1,1,1
97,97,97,97,97
0.252,0.0001306,2.5543e-06,1.91e-05,0.81238
1.1455,3.8253,-4.7037,4.2752,-0.23736
0,1,1,1,0
97,97,97,97,97
0.47642,0.32689,1.91e-05,3.763e-05,0.00021152
0.71207,-0.98039,-4.2752,4.1216,3.7048
0,0,1,1,1
97,97,97,97,97
0.42678,2.3294e-05,2.1025e-09,1.9089e-05,3.8258e-05
0.79472,4.2307,-5.9897,4.2753,-4.1178
0,1,1,1,1
97,97,97,97,97
0.031016,1.91e-05,1.91e-05,1.91e-05,0.24355
2.1569,4.2752,4.2752,4.2752,-1.1662
1,1,1,1,0
97,97,97,97,97
0.21942,3.3058e-05,2.5543e-06,3.5654e-05,0.14001
1.2281,4.1513,-4.7037,4.134,-1.4757
0,1,1,1,0
97,97,97,97,97
0.59867,1.91e-05,1.91e-05,1.91e-05,0.0018945
0.52632,4.2752,4.2752,4.2752,3.1063
0,1,1,1,1
97,97,97,97,97
0.926,0.1593,3.1898e-05,2.9978e-05,0.62765
0.092879,1.4074,4.1595,4.1736,0.48504
0,0,1,1,0
97,97,97,97,97
0.010803,0.8767,3.1865e-05,1.91e-05,0.59867
2.549,-0.15515,4.1597,4.2752,0.52632
1,0,1,1,0
97,97,97,97,97
0.01713,0.99176,2.9978e-05,1.91e-05,0.012151
2.3839,-0.01033,4.1736,4.2752,2.5077
1,0,1,1,1
97,97,97,97,97
0.00058921,0.038046,2.123e-05,2.9978e-05,0.0042549
3.4365,2.0744,4.2515,4.1736,2.8586
1,1,1,1,1
97,97,97,97,97
