5.2002e-07,9.1582e-05,1.0768e-07,5.2002e-07,5.2002e-07
5.0188,-3.9119,-5.3133,5.0188,5.0188
1,1,1,1,1
97,97,97,97,97
3.8276e-05,5.886e-06,2.5543e-06,3.8276e-05,0.89328
4.1176,-4.5304,-4.7037,4.1176,-0.13416
1,1,1,1,0
97,97,97,97,97
0.18998,3.8276e-05,1.91e-05,0.00050553,5.886e-06
1.3106,-4.1176,-4.2752,3.4778,4.5304
0,1,1,1,1
97,97,97,97,97
0.84455,0.46373,2.5543e-06,3.8276e-05,3.8276e-05
-0.19608,0.73271,-4.7037,4.1176,4.1176
0,0,1,1,1
97,97,97,97,97
0.31681,0.0015338,2.5543e-06,3.8276e-05,0.058953
1.001,-3.1682,-4.7037,4.1176,1.8885
0,1,1,1,0
97,97,97,97,97
3.8276e-05,3.8276e-05,2.5543e-06,2.4744e-07,0.86074
4.1176,4.1176,-4.7037,5.1596,0.17544
1,1,1,1,0
97,97,97,97,97
0.002031,3.8276e-05,5.886e-06,0.051121,0.0010701
3.0857,-4.1176,-4.5304,1.9505,3.2714
1,1,1,0,1
97,97,97,97,97
0.67221,3.8276e-05,2.1048e-09,1.91e-05,3.8276e-05
-0.42312,4.1176,-5.9895,4.2752,-4.1176
0,1,1,1,1
97,97,97,97,97
2.4744e-07,5.886e-06,2.5543e-06,2.4744e-07,0.01987
5.1596,-4.5304,-4.7037,5.1596,2.3288
1,1,1,1,1
97,97,97,97,97
3.3693e-05,3.8276e-05,1.91e-05,2.3292e-05,3.3743e-05
4.147,-4.1176,-4.2752,4.2307,4.1466
1,1,1,1,1
97,97,97,97,97
2.681e-05,0.0016463,2.5543e-06,2.4744e-07,2.681e-05
4.199,-3.1476,-4.7037,5.1596,4.199
1,1,1,1,1
97,97,97,97,97
0.00011844,3.8276e-05,2.5543e-06,1.91e-05,0.023817
3.8493,-4.1176,-4.7037,4.2752,2.2601
1,1,1,1,1
97,97,97,97,97
3.8276e-05,0.00099459,2.5543e-06,1.91e-05,0.34767
4.1176,3.2921,-4.7037,4.2752,0.93911
1,1,1,1,0
97,97,97,97,97
0.55637,0.0001306,2.5543e-06,1.91e-05,0.012879
-0.58824,3.8253,-4.7037,4.2752,-2.4871
0,1,1,1,1
97,97,97,97,97
0.058884,0.74897,1.8993e-05,3.7447e-05,0.00021068
1.8891,0.32,-4.2764,4.1227,3.7059
0,0,1,1,1
97,97,97,97,97
0.00053135,2.7048e-05,1.9809e-09,1.8506e-05,3.7246e-05
-3.4644,4.197,-5.9994,4.2822,-4.1239
1,1,1,1,1
97,97,97,97,97
0.064709,1.91e-05,1.91e-05,1.91e-05,0.14564
1.8473,4.2752,4.2752,4.2752,-1.4551
0,1,1,1,0
97,97,97,97,97
0.2878,3.3058e-05,2.5543e-06,3.5654e-05,0.04418
1.063,4.1513,-4.7037,4.134,-2.0124
0,1,1,1,1
97,97,97,97,97
0.00036842,1.895e-05,1.895e-05,1.895e-05,0.32671
-3.5617,4.2769,4.2769,4.2769,-0.98077
1,1,1,1,0
97,97,97,97,97
0.64236,0.056412,3.1898e-05,2.9978e-05,0.50235
-0.4644,1.9078,4.1595,4.1736,-0.67079
0,0,1,1,0
97,97,97,97,97
0.040008,0.56943,3.1865e-05,1.91e-05,0.39169
2.0537,-0.5689,4.1597,4.2752,-0.85655
1,0,1,1,0
97,97,97,97,97
0.71795,0.7645,2.9978e-05,1.91e-05,0.90962
0.3612,-0.29958,4.1736,4.2752,-0.11352
0,0,1,1,0
97,97,97,97,97
0.0039861,0.085443,2.123e-05,2.9978e-05,0.45124
2.8793,1.7199,4.2515,4.1736,0.75335
1,0,1,1,0
97,97,97,97,97
