0.20394,5.2002e-07,1.0768e-07,5.2002e-07,5.2002e-07
1.2704,-5.0188,-5.3133,5.0188,-5.0188
0,1,1,1,1
97,97,97,97,97
0.95885,5.886e-06,2.5543e-06,3.8276e-05,3.8276e-05
0.0516,-4.5304,-4.7037,4.1176,-4.1176
0,1,1,1,1
97,97,97,97,97
0.011459,3.8276e-05,1.91e-05,3.8276e-05,5.886e-06
2.5284,-4.1176,-4.2752,4.1176,4.5304
1,1,1,1,1
97,97,97,97,97
0.71795,0.38038,2.5543e-06,3.8276e-05,3.8276e-05
-0.3612,0.87719,-4.7037,4.1176,4.1176
0,0,1,1,1
97,97,97,97,97
0.20432,0.00043303,2.5543e-06,0.10083,0.4032
1.2693,-3.5191,-4.7037,1.6409,0.83591
0,1,1,0,0
97,97,97,97,97
0.31681,3.8276e-05,2.5543e-06,2.4744e-07,0.41492
1.001,4.1176,-4.7037,5.1596,-0.81527
0,1,1,1,0
97,97,97,97,97
0.30694,3.8276e-05,5.886e-06,0.0016463,0.13455
1.0217,-4.1176,-4.5304,-3.1476,1.4964
0,1,1,1,0
97,97,97,97,97
0.15144,3.8276e-05,2.1048e-09,1.91e-05,3.8276e-05
-1.4345,4.1176,-5.9895,4.2752,-4.1176
0,1,1,1,1
97,97,97,97,97
1,2.0319e-08,4.4471e-09,1,0.00041135
0,-5.6093,-5.8666,0,-3.5327
0,1,1,0,1
97,97,97,97,97
0.36332,3.3693e-05,1.6475e-05,0.00069033,2.9597e-05
0.90906,-4.147,-4.308,-3.3934,-4.1765
0,1,1,1,1
97,97,97,97,97
0.98568,3.5826e-05,1.4086e-08,0.33309,0.95707
0.017944,-4.1329,-5.6723,0.9679,0.053832
0,1,1,0,0
97,97,97,97,97
0.24355,3.8276e-05,2.5543e-06,1.91e-05,0.018115
1.1662,-4.1176,-4.7037,4.2752,-2.3633
0,1,1,1,1
97,97,97,97,97
0.81238,0.012879,2.5543e-06,1.91e-05,0.0014284
-0.23736,2.4871,-4.7037,4.2752,-3.1889
0,1,1,1,1
97,97,97,97,97
0.11916,0.0001306,2.5543e-06,1.91e-05,0.0075208
-1.5583,3.8253,-4.7037,4.2752,-2.6729
0,1,1,1,1
97,97,97,97,97
0.1764,0.82843,1.91e-05,3.763e-05,0.00021152
1.3519,-0.21672,-4.2752,4.1216,3.7048
0,0,1,1,1
97,97,97,97,97
7.7352e-05,0.00016845,1.2552e-09,7.7184e-05,3.0349e-05
-3.9525,3.7622,-6.073,3.953,-4.1708
1,1,1,1,1
97,97,97,97,97
0.43893,1.91e-05,1.91e-05,1.91e-05,0.00026955
0.77399,4.2752,4.2752,4.2752,-3.6429
0,1,1,1,1
97,97,97,97,97
0.2878,3.3058e-05,2.5543e-06,3.5654e-05,0.00024872
-1.063,4.1513,-4.7037,4.134,-3.6636
0,1,1,1,1
97,97,97,97,97
0.00015647,1.7703e-05,1.7703e-05,1.7703e-05,0.00017001
-3.7806,4.292,4.292,4.292,-3.7599
1,1,1,1,1
97,97,97,97,97
0.26064,0.1593,5.0085e-05,2.9978e-05,0.33718
-1.1249,1.4074,4.0552,4.1736,-0.95975
0,0,1,1,0
97,97,97,97,97
0.41487,0.47536,3.1801e-05,1.9057e-05,0.34762
-0.81536,0.71378,4.1602,4.2757,-0.93921
0,0,1,1,0
97,97,97,97,97
0.57031,0.61999,2.9978e-05,1.91e-05,0.68733
-0.5676,0.49587,4.1736,4.2752,-0.40248
0,0,1,1,0
97,97,97,97,97
0.82843,0.013494,2.123e-05,2.9978e-05,0.73344
0.21672,2.4705,4.2515,4.1736,0.34056
0,1,1,1,0
97,97,97,97,97
